# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
0 200
99 4.925 0.0585407 12.0391 0.0826088 31.9453 0.428459 25.5586
100 4.975 0.11474 12.0859 0.0428594 31.9805 0.381718 25.8711
101 5.025 0.224936 12.1797 0.0186714 31.9961 0.355451 26.168
102 5.075 0.312411 12.3125 0.00457633 32 0.39892 26.5078
103 5.125 0.648731 12.5938 0 32 0.463115 26.9102
104 5.175 0.901362 12.9922 0.00440118 32.0039 0.480668 27.3359
105 5.225 1.38697 13.6172 0.0129521 32.0156 0.644544 27.918
106 5.275 1.701 14.3984 0.0296513 32.043 0.67907 28.543
107 5.325 1.73598 15.2109 0.0623508 32.1016 0.612234 29.1172
108 5.375 1.72021 16.0312 0.106073 32.2031 0.715353 29.8008
109 5.425 1.38309 16.7031 0.288352 32.4844 0.642037 30.4258
110 5.475 1.01056 17.2031 0.495442 32.9766 0.622484 31.043
111 5.525 0.635725 17.5234 0.714328 33.6992 0.688644 31.7383
112 5.575 0.44163 17.75 1.10735 34.8398 0.759941 32.5195
113 5.625 0.359018 17.9375 1.54222 36.457 0.843535 33.4023
114 5.675 0.0734833 17.9766 1.77501 38.3516 0.87274 34.332
115 5.725 0.0288821 17.9922 2.0606 40.5898 1.13501 35.5625
116 5.775 0 17.9922 2.49865 43.3516 1.44476 37.1562
117 5.825 0 17.9922 2.32741 45.9688 1.60105 38.9531
118 5.875 0.0137131 18 2.11381 48.3867 1.76895 40.9727
119 5.925 0 18 1.71567 50.3828 1.93097 43.2148
120 5.975 0 18 1.44607 52.0938 1.95502 45.5234
121 6.025 0.0260775 18.0156 1.10072 53.418 1.87391 47.7734
122 6.075 0.0384751 18.0391 0.744139 54.3281 1.76959 49.9336
123 6.125 0.126165 18.1172 0.483837 54.9297 1.73767 52.0898
124 6.175 0.322738 18.3203 0.370935 55.3984 1.47426 53.9492
125 6.225 0.549648 18.6719 0.206834 55.6641 1.52686 55.9062
126 6.275 1.22609 19.4688 0.116742 55.8164 1.39465 57.7227
127 6.325 1.82201 20.6719 0.0854413 55.9297 1.44059 59.6289
128 6.375 2.93489 22.6406 0.0783059 56.0352 1.57499 61.7461
129 6.425 3.16456 24.7969 0.1085 56.1836 1.58777 63.9141
