X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Fe_wt% (balance),Ms_C,PREN,Strength_proxy_MPa,Service_T_C (info),Ms_ok_(>=200C),Fe_balance_ok_(>80%),Ni_wt%,Mn_wt%,Si_wt%
Mo,0.2,15.0,0.1,2.5,82.2,254.14999999999998,24.85,494.0154734853827,20,True,True,,,
Mo,0.2,15.0,0.15,0.0,84.65,272.9,17.4,317.0715162239826,20,True,True,,,
Mo,0.2,15.0,0.15,0.5,84.15,269.15,19.049999999999997,401.9243299663683,20,True,True,,,
Mo,0.2,15.0,0.15,1.0,83.65,265.4,20.7,437.0715162239826,20,True,True,,,
Mo,0.2,15.0,0.15,1.5,83.15,261.65,22.349999999999998,464.0409007909733,20,True,True,,,
Mo,0.2,15.0,0.15,2.0,82.65,257.9,24.0,486.777143708754,20,True,True,,,
Mo,0.2,15.0,0.15,2.5,82.15,254.14999999999998,25.65,506.8081758340854,20,True,True,,,
Mo,0.3,11.0,0.0,0.0,88.7,279.0,11.0,253.01250703873052,20,True,True,,,
Mo,0.3,11.0,0.0,0.5,88.2,275.25,12.65,337.8653207811162,20,True,True,,,
Mo,0.3,11.0,0.0,1.0,87.7,271.5,14.3,373.0125070387305,20,True,True,,,
Mo,0.3,11.0,0.0,1.5,87.2,267.75,15.95,399.9818916057212,20,True,True,,,
Mo,0.3,11.0,0.0,2.0,86.7,264.0,17.6,422.71813452350193,20,True,True,,,
Mo,0.3,11.0,0.0,2.5,86.2,260.25,19.25,442.7491666488333,20,True,True,,,
Mo,0.3,11.0,0.05,0.0,88.65,279.0,11.8,293.26173063372676,20,True,True,,,
Mo,0.3,11.0,0.05,0.5,88.15,275.25,13.450000000000001,378.11454437611246,20,True,True,,,
Mo,0.3,11.0,0.05,1.0,87.65,271.5,15.100000000000001,413.26173063372676,20,True,True,,,
Mo,0.3,11.0,0.05,1.5,87.15,267.75,16.75,440.23111520071745,20,True,True,,,
Mo,0.3,11.0,0.05,2.0,86.65,264.0,18.400000000000002,462.96735811849817,20,True,True,,,
Mo,0.3,11.0,0.05,2.5,86.15,260.25,20.05,482.99839024382953,20,True,True,,,
Mo,0.3,11.0,0.1,0.0,88.6,279.0,12.6,309.93350492176137,20,True,True,,,
Mo,0.3,11.0,0.1,0.5,88.1,275.25,14.25,394.7863186641471,20,True,True,,,
Mo,0.3,11.0,0.1,1.0,87.6,271.5,15.9,429.93350492176137,20,True,True,,,
Mo,0.3,11.0,0.1,1.5,87.1,267.75,17.55,456.90288948875207,20,True,True,,,
Mo,0.3,11.0,0.1,2.0,86.6,264.0,19.200000000000003,479.6391324065328,20,True,True,,,
Mo,0.3,11.0,0.1,2.5,86.1,260.25,20.85,499.67016453186415,20,True,True,,,
